YEAR,MONTH,T-Bill,US Equity,Foreign EQ,Emerging EQ,US Bond,Foreign Bond,HY Bond,Commodity,Real Estate,Hedge Fund
2008,5,0.0018,0.0186,0.0098,0.017,-0.0091,-0.0171,0.0023,0.0892,0.0058,0.0169
2008,6,0.0017,-0.0844,-0.0833,-0.1013,-0.0025,0.0008,-0.0283,0.0905,-0.1142,-0.015
2008,7,0.0015,-0.0077,-0.0335,-0.0384,-0.0023,0.0019,-0.0173,-0.1238,0.0266,-0.0244
2008,8,0.0013,0.0153,-0.0416,-0.0808,0.0082,-0.0291,0.0018,-0.0723,0.0188,-0.0157
2008,9,0.0015,-0.0924,-0.1457,-0.1764,-0.0149,-0.0194,-0.0845,-0.1259,-0.0048,-0.0628
2008,10,0.0008,-0.1723,-0.2025,-0.2743,-0.0244,-0.0251,-0.1633,-0.2828,-0.3031,-0.0692
2008,11,0.0003,-0.0786,-0.0539,-0.0755,0.0322,0.0281,-0.085,-0.1487,-0.2154,-0.027
2008,12,0,0.0174,0.0602,0.0783,0.0373,0.082,0.0767,-0.1332,0.1587,0.0015
2009,1,0,-0.0812,-0.098,-0.0642,-0.0088,-0.0457,0.057,-0.0894,-0.1649,-0.0009
2009,2,0.0001,-0.101,-0.1024,-0.0563,-0.0039,-0.0399,-0.038,-0.0611,-0.1947,-0.0122
2009,3,0.0002,0.0895,0.0637,0.1436,0.0137,0.0268,0.0349,0.0449,0.0439,0.0164
2009,4,0.0001,0.1019,0.1295,0.1665,0.0047,0.0087,0.1126,-0.0093,0.2796,0.0359
2009,5,0,0.0521,0.1201,0.1714,0.0073,0.0447,0.0693,0.1967,0.0214,0.0515
